PAGEID,Location,Region,Quality,Time Rating,Technical Rating,Water Rating,Risk Rating,Min Time,Max Time,Hike,Permits,URL,Longest,Shuttle,Vehicle,Latitude,Longitude,Months,Jump,Min Rappels,Max Rappels
14371,Chaude,Guadeloupe,3.0,I,3.0,B,,1.917 h,2.167 h,,No,https://ropewiki.com/Chaude,65.617,0 minutes,,16.017222222222,-61.668611111111,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,5,5
77539,Fish Dunn Canyon,Jamaica,4.0,II,3.0,C,,,,1.65 mi,No,https://ropewiki.com/Fish_Dunn_Canyon,164.042,0 minutes,Passenger,18.13,-76.551388888889,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,6,6
452,Chirraca Canyon (aka Puente Viga),Turrialba,3.4,I,3.0,B,,2 h,,0.6 mi,Restricted,https://ropewiki.com/Chirraca_Canyon_(aka_Puente_Viga),60.0,0 minutes,Passenger,9.9055555555556,-83.693888888889,,0,6,6
69428,La Rejoya Canyon,Dominican Republic,3.3,III,3.0,C1,R,,,2.858 mi,No,https://ropewiki.com/La_Rejoya_Canyon,131.234,0 minutes,High Clearance,19.678333333333,-70.645,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,0,5
74914,Guanapo Gorge Canyon,Trinidad and Tobago,4.0,II,2.0,C1,,2.25 h,3.5 h,4.101 mi,No,https://ropewiki.com/Guanapo_Gorge_Canyon,0.0,0 minutes,Passenger,10.711666666667,-61.266944444444,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,0,0
77078,Quelital Creek,Western Juan Castro Blanco Parque Nacional,3.0,III,3.0,C,,,,3.1 mi,No,https://ropewiki.com/Quelital_Creek,164.042,1 minutes,High Clearance,10.2175,-84.341111111111,"['Jan', 'Feb', 'Mar']",0,7,7
14659,Fond Lottiere,Martinique,3.3,II,3.0,C,,,,1.35 mi,No,https://ropewiki.com/Fond_Lottiere,98.425,1.5 minutes,Passenger,14.859444444444,-61.178611111111,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,7,7
14813,Grande Riviere Claire,Martinique,3.3,III,3.0,C,,,,4.4 mi,No,https://ropewiki.com/Grande_Riviere_Claire,98.425,12 minutes,Passenger,14.807777777778,-61.174722222222,"['Dec', 'Jan', 'Feb', 'Mar', 'Apr', 'May', 'Jun', 'Jul', 'Aug', 'Sep', 'Oct', 'Nov']",0,22,22
51217,28 Canyon,Turrialba,3.8,III,3.0,C1,,,,,No,https://ropewiki.com/28_Canyon,278.871,0 minutes,4WD,9.9597222222222,-83.727777777778,"['Jan', 'Feb', 'Mar']",0,4,4
57677,Cañón Chitaría,Turrialba,3.7,,3.0,,,,,,No,https://ropewiki.com/Ca%C3%B1%C3%B3n_Chitar%C3%ADa,,,,,,,0,0,0
15186,Peres,Martinique,4.4,III,3.0,C,,6 h,7 h,,No,https://ropewiki.com/Peres,131.234,0 minutes,,14.800555555556,-61.153333333333,,0,15,15
57278,Quebrada Honda,Valle Central,3.0,III,3.0,C1,,,,,No,https://ropewiki.com/Quebrada_Honda,100.0,0 minutes,Passenger,9.9761111111111,-84.472222222222,"['Jan', 'Feb', 'Mar']",0,8,8
